PARAM,VALUE
AccumulatedAnnualDemand,sum
AnnualEmissionLimit,sum
AnnualExogenousEmission,sum
AvailabilityFactor,eq
CapacityFactor,eq
CapacityOfOneTechnologyUnit,eq
CapacityToActivityUnit,eq
CapitalCost,eq
CapitalCostStorage,eq
Conversionld,eq
Conversionlh,eq
Conversionls,eq
DaysInDayType,eq
DaySplit,eq
DepreciationMethod,eq
DiscountRate,eq
EmissionActivityRatio,eq
EmissionsPenalty,eq
FixedCost,eq
InputActivityRatio,eq
MinStorageCharge,eq
ModelPeriodEmissionLimit,sum
ModelPeriodExogenousEmission,sum
OperationalLife,eq
OperationalLifeStorage,eq
OutputActivityRatio,eq
REMinProductionTarget,sum
ReserveMargin,eq
ReserveMarginTagFuel,eq
ReserveMarginTagTechnology,eq
ResidualCapacity,sum
ResidualStorageCapacity,sum
RETagFuel,eq
RETagTechnology,eq
SpecifiedAnnualDemand,sum
SpecifiedDemandProfile,eq
StorageLevelStart,sum
StorageMaxChargeRate,eq
StorageMaxDischargeRate,eq
TechnologyFromStorage,eq
TechnologyToStorage,eq
TotalAnnualMaxCapacity,sum
TotalAnnualMaxCapacityInvestment,sum
TotalAnnualMinCapacity,sum
TotalAnnualMinCapacityInvestment,sum
TotalTechnologyAnnualActivityLowerLimit,sum
TotalTechnologyAnnualActivityUpperLimit,sum
TotalTechnologyModelPeriodActivityLowerLimit,sum
TotalTechnologyModelPeriodActivityUpperLimit,sum
TradeRoute,eq
VariableCost,eq
YearSplit,eq
